rpm,terminal_state,passed,stop_reason,completed_cycles,integration_seconds,accepted_steps,rejected_steps,max_consecutive_rejections,minimum_step_deg,W_C_J_per_cycle,pmax_Pa,indicated_power_W,indicated_torque_Nm,worst_independent_balance,metrics_status,run_id,manifest_path,scientific_sha256,classification,wall_seconds
9000,PASS,True,convergencia: tres ciclos consecutivos,11,14.79700000025332,32702,41,4,0.0028287563582125586,12.259160279603964,1475777.1466297295,1838.8740419405947,1.9511059566547928,3.7155756320396612e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/9000.json,15d65c7d5add8f8d5533285f2e63179e17eac47ef3c4869c97b77167e6d52a82,MAIN_2T_DOMAIN,15.04700000025332
9500,PASS,True,convergencia: tres ciclos consecutivos,12,16.20299999974668,35672,73,4,0.003016805708739412,11.921989024969548,1485463.1412905252,1887.6482622868452,1.8974434848112294,4.239728595800929e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/9500.json,127bc912b9eaa0284108a2ed0bc15cc4ed6fd9ecc187ae6909c859d5878039ad,MAIN_2T_DOMAIN,16.468999999575317
10000,PASS,True,convergencia: tres ciclos consecutivos,12,15.95299999974668,35768,77,5,0.0011510151369975574,11.6018096460419,1494822.8417467284,1933.6349410069834,1.846485353978801,3.259849923728112e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/10000.json,41c2a77755e281edda880a08f24d42de03640d2809df1cba4d7e15a6beed464c,MAIN_2T_DOMAIN,16.20299999974668
10500,PASS,True,convergencia: tres ciclos consecutivos,12,15.906000000424683,35672,73,5,0.0010027931348304264,11.291720331058588,1503641.2268106113,1976.0510579352529,1.7971331066992273,1.9560236762613803e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/10500.json,14bebaf4df973e930719f9988c110f55e9873532fe41474fc1067d7e9d2f402f,MAIN_2T_DOMAIN,16.140000000596046
11000,PASS,True,convergencia: tres ciclos consecutivos,12,16.140999999828637,35722,71,4,0.0014769653955255535,10.992612838326703,1511969.3754606529,2015.3123536932292,1.7495286707151245,3.1826825530142307e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/11000.json,cb9da57e6cbb56c06b23ca2d35a7b68cd11772c8b9454b94a40268a892b224b6,MAIN_2T_DOMAIN,16.390999999828637
11500,PASS,True,convergencia: tres ciclos consecutivos,12,16.014999999664724,35628,66,5,0.0029303229857760016,10.704889874967098,1519857.468746653,2051.7705593686937,1.703736138855395,2.417340179982345e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/11500.json,33ec064c2eddcdcadc1306f20bda40f5239a2772324149825081bff1a6ef5da1,MAIN_2T_DOMAIN,16.264999999664724
12000,PASS,True,convergencia: tres ciclos consecutivos,13,17.438000000081956,38590,67,5,0.00115532294876175,10.42662663094919,1527206.218010818,2085.325326189838,1.6594491680891588,2.898153460791298e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/12000.json,27a1e0cc96df136ed64e4b44e54a412fd8324b1793a11c4cf1abfda16a7eccb2,MAIN_2T_DOMAIN,17.735000000335276
12500,PASS,True,convergencia: tres ciclos consecutivos,13,17.438000000081956,38618,74,4,0.001864424644736573,10.161620554718588,1534304.005029457,2117.0042822330392,1.617272141107671,2.959849375663611e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/12500.json,2f9737e019e585bd031aa8d6d620c6b51141a1ada3e83b8ac6548d98ae353827,MAIN_2T_DOMAIN,17.688000000081956
13000,PASS,True,convergencia: tres ciclos consecutivos,13,17.593999999575317,38656,83,6,0.0016470417421032835,9.907220675362275,1541042.8267376453,2146.564479661826,1.5767831427861319,3.0046008314449106e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/13000.json,f8f3b57ff77c99df7145f891e780239686252e7f577b411be7a6116f8b0d47e5,MAIN_2T_DOMAIN,17.859000000171363
13500,PASS,True,convergencia: tres ciclos consecutivos,13,17.718999999575317,38708,80,6,0.0015473963594558882,9.66316342136289,1547458.7130708462,2174.2117698066504,1.5379402244146956,2.4834078061835478e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/13500.json,83348666e0b04ae4c6b7e0d89d760f6188240ea4ce6c21a34f8dbe6659300ef7,MAIN_2T_DOMAIN,17.95299999974668
14000,PASS,True,convergencia: tres ciclos consecutivos,13,17.718999999575317,38696,86,4,0.002723727451666491,9.429001287031667,1553564.3988659303,2200.1003003073893,1.500672163250933,2.8510919996595075e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/14000.json,0a5a08472a2103b919ae6e7f99d8a1515fe61b649da4bc94795a8051ae974012,MAIN_2T_DOMAIN,17.968999999575317
14500,PASS,True,convergencia: tres ciclos consecutivos,14,19.09400000050664,41542,76,7,0.0013420493273770262,9.204057858204854,1559282.6249442843,2224.313982399506,1.4648713046371056,4.247452568550571e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/14500.json,623d04e02665d1091c0f5a671c483fff93bb1622127a08e77db197b207db4e8a,MAIN_2T_DOMAIN,19.360000000335276
15000,PASS,True,convergencia: tres ciclos consecutivos,14,19.014999999664724,41694,81,4,0.001438810293620918,8.988658933891463,1564829.7782509343,2247.164733472866,1.4305895010959524,3.6119635280431395e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/15000.json,bcdce7d5e99d31c365d9f684a6102ad93ec623d53997d150578392363ac1a7d3,MAIN_2T_DOMAIN,19.264999999664724
16000,PASS,True,convergencia: tres ciclos consecutivos,14,19.109000000171363,41668,71,4,0.0013762967055299669,8.583612546445277,1575187.5931332307,2288.9633457187406,1.366124366352377,3.566972954011776e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/16000.json,c62bf66a708f95bb0b53d9deb2180a37c509f3de799f598a1a9e2bd08853a12e,EXPLORATORY_HIGH_RPM,19.375
18000,PASS,True,convergencia: tres ciclos consecutivos,15,20.453000000678003,44504,108,5,0.001115058701941507,7.865429364550295,1593238.1785060652,2359.6288093650883,1.2518219629083247,1.901819335135482e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/18000.json,2c95f84ab2b808f652f4120753b95ca47bd16b4ec1bbf5036825415fc40d138d,EXPLORATORY_HIGH_RPM,20.686999999918044
20000,PASS,True,convergencia: tres ciclos consecutivos,16,21.718999999575317,47488,79,5,0.0025929292200999043,7.250804274940973,1608441.414662841,2416.9347583136573,1.154001341748702,3.387251286496069e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/20000.json,82740ba7ad48b3d647abe3542c0f3fdc6d73850f83436c9810cf851334765ca1,EXPLORATORY_HIGH_RPM,22.014999999664724
